"Submission ID","Authors",
"1441","Yiqing Hua, Cristian Danescu-Niculescu-Mizil, Dario Taraborelli, Nithum Thain, Jeffery Sorensen and Lucas Dixon",
"1462","Shiv Shankar, Siddhant Garg and Sunita Sarawagi",
"1465","Paria Jamshid Lou, Peter Anderson and Mark Johnson",
"1470","Murhaf Fares, Stephan Oepen and Erik Velldal",
"1471","Hamed Khanpour and Cornelia Caragea",
"1472","Matthew Peters, Mark Neumann, Luke Zettlemoyer and Wen-tau Yih",
"1474","Jan A. Botha, Manaal Faruqui, John Alex, Jason Baldridge and Dipanjan Das",
"1477","Vivek Kulkarni, Junting Ye, Steve Skiena and William Yang Wang",
"1478","Yijia Liu, Wanxiang Che, Bo Zheng, Bing Qin and Ting Liu",
"1479","Sachin Mehta, Rik Koncel-Kedziorski, Mohammad Rastegari and Hannaneh Hajishirzi",
"1482","Junnan Zhu, Haoran Li, Tianshang Liu, Yu Zhou, Jiajun Zhang and Chengqing Zong",
"1487","Asaf Amrami and Yoav Goldberg",
"1489","Anne Lauscher, Goran Glavaš, Simone Paolo Ponzetto and Kai Eckert",
"1490","Jindřich Libovický and Jindřich Helcl",
"1494","Adam Poliak, Aparajita Haldar, Rachel Rudinger, J. Edward Hu, Ellie Pavlick, Aaron Steven White and Benjamin Van Durme",
"1497","Francesco Barbieri, Luis Espinosa Anke, Jose Camacho-Collados, Steven Schockaert and Horacio Saggion",
"1498","Jamie Kiros and William Chan",
"1502","Weichao Wang, Shi Feng, Wei Gao, Daling Wang and Yifei Zhang",
"1504","Hai Wang and Hoifung Poon",
"1507","Biao Zhang, Deyi Xiong, jinsong su, Qian Lin and Huiji Zhang",
"1511","Shang-Yu Su, Xiujun Li, Jianfeng Gao, Jingjing Liu and Yun-Nung Chen",
"1512","Liqiang Xiao, Honglun Zhang, Wenqing Chen, Yongkun Wang and Yaohui Jin",
"1516","Nicolas Ford, Daniel Duckworth, Mohammad Norouzi and George Dahl",
"1517","Ashkan Alinejad, Maryam Siahbani and Anoop Sarkar",
"1518","Minghao Wu, Fei Liu and Trevor Cohn",
"1522","Salvatore Giorgi, Daniel Preoţiuc-Pietro, Anneke Buffone, Daniel Rieman, Lyle Ungar and H. Andrew Schwartz",
"1527","Xinyi Wang, Hieu Pham, Zihang Dai and Graham Neubig",
"1533","Fréderic Godin, Kris Demuynck, Joni Dambre, Wesley De Neve and Thomas Demeester",
